filename,head_x,head_y,tail_x,tail_y
img_00020.jpg,719.9,656.5,817,498.7
img_00020.jpg,748.9,507,794.9,397.4
img_00020.jpg,639.8,719.6,694.3,550.2
img_00020.jpg,656.9,423.9,726.7,352.5
img_00020.jpg,627.9,477.1,762.5,400.7
img_00029.jpg,627.9,493.7,730.1,377.4
img_00029.jpg,716.5,458.8,759.1,355.8
img_00032.jpg,538.7,552.2,607,533.6
img_00037.jpg,312.7,291.1,355.3,410.5
img_00038.jpg,813.6,372.5,782.9,274.5
img_00039.jpg,420,183.8,641.5,163
img_00041.jpg,815.3,213,1035.1,307.7
img_00041.jpg,585.3,130,851.1,159.9
img_00041.jpg,167.9,239.6,380.8,279.4
img_00043.jpg,580.2,503.7,588.7,389.1
img_00045.jpg,774.4,450.5,810.2,521.9
img_00055.jpg,210.5,407,334.8,427.8
img_00057.jpg,483.1,535.2,522.3,654.3
img_00074.jpg,430.2,155.9,571.7,213.5
img_00085.jpg,570,218,854.5,224.6
img_00090.jpg,409.8,125,675.6,131.6
img_00090.jpg,343.4,337.6,566.6,204.7
img_00090.jpg,856.2,374.1,1081.1,465.5
img_00090.jpg,709.7,121.7,963.5,163.2
img_00097.jpg,478,510.3,527.4,394.1
img_00097.jpg,404.7,628.2,375.7,722.9
img_00110.jpg,475.3,131.8,495.9,247.7
img_00121.jpg,546.1,389.1,479.7,500.4
img_00130.jpg,810.2,140.5,938,99
img_00134.jpg,379.1,409,513.7,360.8
img_00136.jpg,183.2,647.5,696,737.4
img_00154.jpg,311,493.7,411.5,435.6
img_00156.jpg,389.4,277.2,604,315.3
img_00163.jpg,443.9,404,552.9,427.3
img_00177.jpg,852.8,404,864.7,335.9
img_00186.jpg,936.3,317.6,1115.2,232.9
img_00187.jpg,225.8,394.9,363.8,446.8
img_00188.jpg,930.6,212.2,989.3,244.6
img_00191.jpg,530.8,407.3,604,493.7
img_00191.jpg,138.9,475.4,159.3,654.8
img_00193.jpg,191.7,349.9,319.5,393.1
img_00197.jpg,673.9,473.8,767.6,369.1
